sent,type,original_sent
There have been plenty of conversations recently that eventually turn to the election and who people are planning to vote for .,"['a1_there_is_am_are', 'a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a2_present_perfect', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']",There have been plenty of conversations recently that eventually turn to the election and who people are planning to vote for.
"He has seldom seen a more indecisive mood in the country ahead of an election : I 'm not sure who I 'm voting for yet , but it will definitely be an opposition party .","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a2_present_perfect']","He has seldom seen a more indecisive mood in the country ahead of an election: I'm not sure who I'm voting for yet, but it will definitely be an opposition party."
"I think RÚV , the state TV station , and other outlets are doing a good job providing all the parties with air time and giving them a fair chance to present their case to the public .","['a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a2_to_non_finite_forms']","I think RÚV, the state TV station, and other outlets are doing a good job providing all the parties with air time and giving them a fair chance to present their case to the public."
Axel works for the government and is predicting real change after Saturday 's election .,"['a1_possesive_s_sing', 'a1_present_simple_3d_pers', 'a1_present_continuous_act_rn']",Axel works for the government and is predicting real change after Saturday's election.
"It added : War , terrorism and the pressures of globalization are eroding democratic values , fraying alliances and challenging the ideals of tolerance and charity .","['a1_present_continuous_act_rn', 'a1_past_simple_reg']","It added: War, terrorism and the pressures of globalization are eroding democratic values, fraying alliances and challenging the ideals of tolerance and charity."
"What Donald Trump is doing is not what any of us thought a man who 's running for president would do , she said .","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a1_past_simple_irreg', 'a2_say_reported_verb']","What Donald Trump is doing is not what any of us thought a man who's running for president would do, she said."
"That means that 77 million newborns - over 50 % of babies born each year are losing out on the benefits of early initiation , exposing them to a higher risk of disease and death .",['a1_present_continuous_act_rn'],"That means that 77 million newborns - over 50% of babies born each year are losing out on the benefits of early initiation, exposing them to a higher risk of disease and death."
"This is happening because women are not getting the support they need around the time of birth , even when a doctor , nurse or midwife is assisting their delivery .","['a1_present_simple_reg_act', 'a1_present_continuous_act_rn']","This is happening because women are not getting the support they need around the time of birth, even when a doctor, nurse or midwife is assisting their delivery."
"I see the rallies and they 're big , and I see the poll numbers , and he 's slipping in the polls , she said .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a1_past_simple_irreg', 'a2_say_reported_verb']","I see the rallies and they're big, and I see the poll numbers, and he's slipping in the polls, she said."
Those who live in the world are having an easier time understanding Trump 's challenges .,"['a1_possesive_s_sing', 'a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a2_ing_non_finite_forms']",Those who live in the world are having an easier time understanding Trump's challenges.
The simpler explanation is that he is losing because of his own performance and personality .,"['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn']",The simpler explanation is that he is losing because of his own performance and personality.
"If that 's what you 're looking for in this election , then you 're in luck .","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a2_zero_conditional_if_m']","If that's what you're looking for in this election, then you're in luck."
"I 'm already living it , said Karl Brauer , senior analyst with Kelley Blue Book , an automotive research company .","['a1_present_continuous_act_rn', 'a2_say_reported_verb']","I'm already living it, said Karl Brauer, senior analyst with Kelley Blue Book, an automotive research company."
"Twitter has told potential acquirers it is seeking to conclude negotiations about a sale by the time it reports earnings on 27 October , according to people familiar with the matter .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_present_continuous_act_rn', 'a2_present_perfect', 'a2_to_non_finite_forms']","Twitter has told potential acquirers it is seeking to conclude negotiations about a sale by the time it reports earnings on 27 October, according to people familiar with the matter."
It is the clearest sign yet that CEO Jack Dorsey is pushing to provide clarity to shareholders and employees over the company 's future as quickly as possible .,"['a1_superlative_short', 'a1_superlative_exept', 'a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a2_to_non_finite_forms']",It is the clearest sign yet that CEO Jack Dorsey is pushing to provide clarity to shareholders and employees over the company's future as quickly as possible.
"There 's a billion to one chance we 're living in base reality , he said at a conference in June .","['a1_there_is_am_are', 'a1_present_continuous_act_rn', 'a1_past_simple_irreg', 'a2_say_reported_verb']","There's a billion to one chance we're living in base reality, he said at a conference in June."
"Quite frankly , if we are not living in a simulation , it is an extraordinarily unlikely circumstance , he added .","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a1_past_simple_reg', 'a2_zero_conditional_if_m']","Quite frankly, if we are not living in a simulation, it is an extraordinarily unlikely circumstance, he added."
An insurgent group of convention delegates are even trying to oust the billionaire real estate mogul as nominee .,"['a1_present_continuous_act_rn', 'a2_past_continuous', 'a2_to_non_finite_forms']",An insurgent group of convention delegates are even trying to oust the billionaire real estate mogul as nominee.
"We are starting to see things spiral away now , said Gregor Schuurman , an ecologist at the NPS climate change response program .","['a1_present_continuous_act_rn', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","We are starting to see things spiral away now, said Gregor Schuurman, an ecologist at the NPS climate change response program."
"Permafrost , which currently sits underneath 80 % of Alaska , is beginning to melt , causing sinkholes and landslides .","['a1_present_simple_3d_pers', 'a1_present_continuous_act_rn', 'a2_relative_clause_who_which_that']","Permafrost, which currently sits underneath 80% of Alaska, is beginning to melt, causing sinkholes and landslides."
"Wildfires are increasing , with a lack of snow cover allowing the flames to lick areas that have n't burned in almost 5 , 000 years .","['a1_present_continuous_act_rn', 'a2_present_perfect', 'a2_to_non_finite_forms']","Wildfires are increasing, with a lack of snow cover allowing the flames to lick areas that haven't burned in almost 5, 000 years."
"A lot of these sites have n't been surveyed properly , we are trying to figure out which are most vulnerable and mitigate against that , Devenport said .","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a1_past_simple_irreg', 'a2_present_perfect', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","A lot of these sites haven't been surveyed properly, we are trying to figure out which are most vulnerable and mitigate against that, Devenport said."
This warming is influencing a complex web of processes in national parks .,['a1_present_continuous_act_rn'],This warming is influencing a complex web of processes in national parks.
"Some species are suffering , such as the native birds of Hawaii targeted by invasive mosquitos , which are able to survive in higher elevations as the forest habitat warms .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_present_continuous_act_rn', 'a2_passive_present_simple']","Some species are suffering, such as the native birds of Hawaii targeted by invasive mosquitos, which are able to survive in higher elevations as the forest habitat warms."
"I tell park managers that whether they are thinking about climate change every day or not , it is likely to find you and tap you on the shoulder .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a2_to_non_finite_forms']","I tell park managers that whether they are thinking about climate change every day or not, it is likely to find you and tap you on the shoulder."
Some national parks are already looking at how to respond to this potentially diminished future .,"['a1_present_continuous_act_rn', 'a2_to_non_finite_forms']",Some national parks are already looking at how to respond to this potentially diminished future.
The planners should sit down and realise they 're not doing this for themselves,"['a1_present_continuous_act_rn', 'a2_should']",The planners should sit down and realise they're not doing this for themselves
"So if you 're doing your calculation and you cut out the fringes , you might not be doing a very good calculation .","['a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a2_zero_conditional_if_m']","So if you're doing your calculation and you cut out the fringes, you might not be doing a very good calculation."
"If you 're feeling particularly skeptical , you should pay attention to the margin of error on a poll .","['a1_present_continuous_act_rn', 'a2_should', 'a2_zero_conditional_if_m']","If you're feeling particularly skeptical, you should pay attention to the margin of error on a poll."
"What actually does offer some promise of predicting voter behavior is taking a big bunch of surveys , each reputable , each with a slightly different methodology , and averaging them out .","['a1_present_simple_3d_pers', 'a1_present_continuous_act_rn', 'a2_ing_non_finite_forms']","What actually does offer some promise of predicting voter behavior is taking a big bunch of surveys, each reputable, each with a slightly different methodology, and averaging them out."
"Rubio , who is seeking to a second term , is facing a challenge from Democratic congressman Patrick Murphy in a race that is critical for Republicans to hold onto their slim majority .","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a2_to_non_finite_forms']","Rubio, who is seeking to a second term, is facing a challenge from Democratic congressman Patrick Murphy in a race that is critical for Republicans to hold onto their slim majority."
"To be sure it was a sad event , as it always is when a loved one dies .","['a1_to_be_past_was_were', 'a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']","To be sure it was a sad event, as it always is when a loved one dies."
"I 'd read about a drug called naltrexone , which is a pill that helps mitigate and manage alcohol cravings and abuse .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_past_perfect_basic', 'a2_relative_clause_who_which_that']","I'd read about a drug called naltrexone, which is a pill that helps mitigate and manage alcohol cravings and abuse."
I have been battling depression and sleeplessness while thinking about how to fight Donald Trump and what his rise means about the United States of America .,"['a1_present_simple_3d_pers', 'a2_present_perfect', 'a2_to_non_finite_forms']",I have been battling depression and sleeplessness while thinking about how to fight Donald Trump and what his rise means about the United States of America.
"It 's racism only because conservatism simply means to conserve , to preserve the status quo .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']","It's racism only because conservatism simply means to conserve, to preserve the status quo."
"Because that group wants to preserve what it has illegally gained and wishes to continue - in politics , and in economics .","['a1_present_simple_3d_pers', 'a2_present_perfect', 'a2_to_non_finite_forms']","Because that group wants to preserve what it has illegally gained and wishes to continue - in politics, and in economics."
"Obviously , this barbaric attack does n't reflect the way Syrian refugees are treated in Turkey , which is the largest host of refugees in the world .","['a1_superlative_short', 'a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that', 'a2_passive_present_simple']","Obviously, this barbaric attack doesn't reflect the way Syrian refugees are treated in Turkey, which is the largest host of refugees in the world."
"But Bindi Bezar , who works in a gift shop near the bottom , does it in seven .","['a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that']","But Bindi Bezar, who works in a gift shop near the bottom, does it in seven."
"Beverley McClay has lived on the street for nine years , and delights in the growing popularity of her home .","['a1_present_simple_3d_pers', 'a2_present_perfect']","Beverley McClay has lived on the street for nine years, and delights in the growing popularity of her home."
"From her porch , she often watches strangers open her gate , potter around her garden , and occasionally - and most unwelcomely - relieve themselves in her Corokia hedge .",['a1_present_simple_3d_pers'],"From her porch, she often watches strangers open her gate, potter around her garden, and occasionally - and most unwelcomely - relieve themselves in her Corokia hedge."
"I think a lot of tourists do n't know this is a real street , that people actually live here , she laughs .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers']","I think a lot of tourists don't know this is a real street, that people actually live here, she laughs."
"It makes me feel like I am part of a community here , there 's always someone just outside my door .","['a1_to_be_present_is_am_are', 'a1_there_is_am_are', 'a1_present_simple_3d_pers']","It makes me feel like I am part of a community here, there's always someone just outside my door."
What we do know is that Hal Martin loves his family and his country .,"['a1_present_simple_reg_act', 'a1_present_simple_3d_pers']",What we do know is that Hal Martin loves his family and his country.
"Helmets , rifles , Murray Bennett , who lives next door to Martin , said .","['a1_present_simple_3d_pers', 'a2_say_reported_verb']","Helmets, rifles, Murray Bennett, who lives next door to Martin, said."
Neighbors describe Martin and the woman he lives with - no one could say whether they were married - as nice decent and peaceful .,"['a1_to_be_past_was_were', 'a1_present_simple_3d_pers', 'a2_could', 'a2_zero_article']",Neighbors describe Martin and the woman he lives with - no one could say whether they were married - as nice decent and peaceful .
"If convicted , Martin faces a maximum sentence of one year in prison for the unauthorized removal and retention of classified materials and 10 years in prison for theft of government property .","['a1_present_simple_3d_pers', 'a2_zero_conditional_if_m']","If convicted, Martin faces a maximum sentence of one year in prison for the unauthorized removal and retention of classified materials and 10 years in prison for theft of government property."
"Jesselyn Radack , a US lawyer who represents whistleblowers , was among those quick to caution journalists about making comparisons with Snowden .","['a1_to_be_past_was_were', 'a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']","Jesselyn Radack, a US lawyer who represents whistleblowers, was among those quick to caution journalists about making comparisons with Snowden."
The result is that there is no clear way to know what assets and liabilities Trump has .,"['a1_to_be_present_is_am_are', 'a1_there_is_am_are', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']",The result is that there is no clear way to know what assets and liabilities Trump has.
"It is known , though , that Trump owes $ 364 m to Deutsche Bank .","['a1_present_simple_3d_pers', 'a2_passive_present_simple']","It is known, though, that Trump owes $364m to Deutsche Bank."
They are on notice that every race matters because if we lose two or three days ' racing it could be the case .,"['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_could', 'a2_first_conditional_if_m']",They are on notice that every race matters because if we lose two or three days' racing it could be the case.
"If the regatta runs you have to race in whatever the conditions are , she insisted .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_past_simple_reg', 'a2_zero_conditional_if_m']","If the regatta runs you have to race in whatever the conditions are, she insisted."
"The wind comes down from the mountain , he added , pointing to the most famous landmark on the Rio skyline .","['a1_present_simple_3d_pers', 'a1_past_simple_reg']","The wind comes down from the mountain, he added, pointing to the most famous landmark on the Rio skyline."
Christ The Redeemer needs to spread his arms out a little more .,['a1_present_simple_3d_pers'],Christ The Redeemer needs to spread his arms out a little more.
"On Monday , the first presidential debate against Hillary Clinton takes place , at Hofstra University in New York .",['a1_present_simple_3d_pers'],"On Monday, the first presidential debate against Hillary Clinton takes place, at Hofstra University in New York."
"As Trump prepares to face the largest audience of the cycle thus far , the fabled pivot is nowhere in sight .","['a1_superlative_short', 'a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']","As Trump prepares to face the largest audience of the cycle thus far, the fabled pivot is nowhere in sight."
"Behind a podium , on primetime TV , appearance and style , not policy , often dictate who wins and who loses .","['a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that']","Behind a podium, on primetime TV, appearance and style, not policy, often dictate who wins and who loses."
The IUCN resolution calls on governments around the world to close their domestic markets for elephant ivory as a matter of urgency .,"['a1_present_simple_3d_pers', 'a2_to_non_finite_forms']",The IUCN resolution calls on governments around the world to close their domestic markets for elephant ivory as a matter of urgency .
"A related motion that supports marine protected areas on the high seas , which are beyond national jurisdiction , also passed .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_past_simple_reg', 'a2_relative_clause_who_which_that']","A related motion that supports marine protected areas on the high seas, which are beyond national jurisdiction, also passed."
"They include a call for a ban on gillnet fishing , which threatens the vaquita porpoise in Mexico , and restrictions on the trade of pangolins .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that']","They include a call for a ban on gillnet fishing, which threatens the vaquita porpoise in Mexico, and restrictions on the trade of pangolins."
"Better Things opens with its protagonist , Sam Fox , texting at a shopping mall while her daughter wails by her side .",['a1_present_simple_3d_pers'],"Better Things opens with its protagonist, Sam Fox, texting at a shopping mall while her daughter wails by her side."
"Sam embodies all those synonyms for tired attributed to single working mothers : fraught , frazzled , overworked .","['a1_present_simple_3d_pers', 'a1_past_simple_reg', 'a2_to_non_finite_forms']","Sam embodies all those synonyms for tired attributed to single working mothers: fraught, frazzled, overworked."
She is a jobbing actor and so is constantly putting herself in a situation in which she has to prove she is good enough .,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']",She is a jobbing actor and so is constantly putting herself in a situation in which she has to prove she is good enough.
Yet perhaps the most radical aspect of Better Things is that Sam has motivations and ambitions that have nothing to do with being a parent .,"['a1_superlative_long', 'a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_ing_non_finite_forms']",Yet perhaps the most radical aspect of Better Things is that Sam has motivations and ambitions that have nothing to do with being a parent.
"And while she is a sometimes imperfect mother , it 's almost incidental she does n't particularly characterise herself as such , only acknowledges that she 's a product of her circumstances just doing her damned best .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']","And while she is a sometimes imperfect mother, it's almost incidental she doesn't particularly characterise herself as such, only acknowledges that she's a product of her circumstances just doing her damned best."
"After kicking out her husband for an online affair , Mila Kunis throws down the gauntlet at a meeting : I 'm done , she announces , throwing off the weight of expectation .","['a1_present_simple_3d_pers', 'a2_present_perfect', 'a2_ing_non_finite_forms']","After kicking out her husband for an online affair, Mila Kunis throws down the gauntlet at a meeting: I'm done, she announces, throwing off the weight of expectation."
"Bad Moms points the finger at mothers perceived as perfect , as opposed to a patriarchal and innately sexist socialisation that demands women relinquish their careers , personal lives and humanity to focus squarely on their children .","['a1_present_simple_3d_pers', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']","Bad Moms points the finger at mothers perceived as perfect, as opposed to a patriarchal and innately sexist socialisation that demands women relinquish their careers, personal lives and humanity to focus squarely on their children."
"Because I want to be raised the way I was , by my mother , and not because we are not Sheryl Sandberg and David Goldberg which gives you an idea of the stakes here .","['a1_to_be_past_was_were', 'a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']","Because I want to be raised the way I was, by my mother, and not because we are not Sheryl Sandberg and David Goldberg which gives you an idea of the stakes here."
"Motherland aligns our notions of idealised parenthood with wealth , revealing the heinous classism innate to it .",['a1_present_simple_3d_pers'],"Motherland aligns our notions of idealised parenthood with wealth, revealing the heinous classism innate to it."
"Like getting together with Colin Firth , having the baby you 've always dreamed of does n't guarantee personal contentment .","['a1_present_simple_3d_pers', 'a2_present_perfect', 'a2_adjectives_ed', 'a2_ing_non_finite_forms']","Like getting together with Colin Firth, having the baby you've always dreamed of doesn't guarantee personal contentment."
"Uncomfortably , the end seems to imply she gets it together having come to appreciate what she might have lost ( her child ) serving up an idyllically meal , despite having no obvious additional support or income .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']","Uncomfortably, the end seems to imply she gets it together having come to appreciate what she might have lost (her child) serving up an idyllically meal, despite having no obvious additional support or income."
"In one , we see him wake up one of her children to tell them about what sounds like a spurious career opportunity .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']","In one, we see him wake up one of her children to tell them about what sounds like a spurious career opportunity."
Some of the fondest memories I have of her are from this time .,"['a1_superlative_short', 'a1_present_simple_reg_act']",Some of the fondest memories I have of her are from this time.
"The coming of death was , I think , a merciful one :","['a1_to_be_past_was_were', 'a1_present_simple_reg_act']","The coming of death was, I think, a merciful one:"
"My remaining $ 20 , 000 in credit card debt is manageable , although I do not know when I will be completely free of it .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']","My remaining $20, 000 in credit card debt is manageable, although I do not know when I will be completely free of it."
"I now work three jobs - one and two - in order to manage the remaining debt , along with the expense of living in a major metropolitan area .","['a1_present_simple_reg_act', 'a2_to_non_finite_forms']","I now work three jobs - one and two - in order to manage the remaining debt, along with the expense of living in a major metropolitan area."
"Despite my two degrees and prior work in scientific research , I earn just above minimum wage working in a laboratory at a dollar biomedical research institution .",['a1_present_simple_reg_act'],"Despite my two degrees and prior work in scientific research, I earn just above minimum wage working in a laboratory at a dollar biomedical research institution."
The journal entry I wrote that night was just one line : I 'm not the man I want to be .,"['a1_to_be_past_was_were', 'a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']",The journal entry I wrote that night was just one line: I'm not the man I want to be.
"And that is why it is so difficult for Afro Americans to accept the conservatives , no matter who they happen to be , whether they are in the Republican party or the Democratic party .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']","And that is why it is so difficult for Afro Americans to accept the conservatives, no matter who they happen to be, whether they are in the Republican party or the Democratic party."
"Listening to my father fighting Reaganism , 30 years ago next week , is both depressing and freeing as I think about fighting Trumpism .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_ing_non_finite_forms']","Listening to my father fighting Reaganism, 30 years ago next week, is both depressing and freeing as I think about fighting Trumpism."
They might just show the way towards the road just when you need it most .,['a1_present_simple_reg_act'],They might just show the way towards the road just when you need it most.
"Three flatmates of a gay Syrian refugee beheaded in a homophobic attack in Turkey last week fear they face a similar fate , after receiving death threats in the days since his murder .","['a1_present_simple_reg_act', 'a2_ing_non_finite_forms', 'a2_passive_past_simple']","Three flatmates of a gay Syrian refugee beheaded in a homophobic attack in Turkey last week fear they face a similar fate, after receiving death threats in the days since his murder."
"But Sankari 's friends say his experiences show how dangerous the country is for gay refugees , and unstable for refugees in general .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_say_reported_verb']","But Sankari's friends say his experiences show how dangerous the country is for gay refugees, and unstable for refugees in general."
The Turks want us to work and work and work - without money or rights .,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms']",The Turks want us to work and work and work - without money or rights.
"It has also become a hot spot for daredevil sports enthusiasts who trike , bike and slide down the slope in anything with wheels .","['a1_present_simple_reg_act', 'a2_present_perfect', 'a2_relative_clause_who_which_that']","It has also become a hot spot for daredevil sports enthusiasts who trike, bike and slide down the slope in anything with wheels."
"In the past year Baldwin Street has also become a destination in an unusual social media trend to snap pictures at odd angles , which create the optical illusion of the houses being severely lopsided .","['a1_present_simple_reg_act', 'a2_present_perfect', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']","In the past year Baldwin Street has also become a destination in an unusual social media trend to snap pictures at odd angles, which create the optical illusion of the houses being severely lopsided."
"But if we get two or three knocked out then we go into contingency mode , and into scenarios where we possible drop rounds .","['a1_present_simple_reg_act', 'a2_relative_clause_others', 'a2_zero_conditional_if_m', 'a2_first_conditional_if_m']","But if we get two or three knocked out then we go into contingency mode, and into scenarios where we possible drop rounds."
"We told team managers on Thursday that if you lose rounds of racing , your results from previous races could determine your placement in finals or .","['a1_present_simple_reg_act', 'a2_could', 'a2_tell_reported_verb', 'a2_first_conditional_if_m']","We told team managers on Thursday that if you lose rounds of racing, your results from previous races could determine your placement in finals or ."
"I do think it should have been called off , she said .","['a1_present_simple_reg_act', 'a2_should', 'a2_present_perfect', 'a2_say_reported_verb']","I do think it should have been called off, she said."
"We 've put 10 years plus into this and to have it decided on a little bit of lottery , and what waves hit a boat at a particular time , is a little bit disappointing .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_present_perfect', 'a2_to_non_finite_forms']","We've put 10 years plus into this and to have it decided on a little bit of lottery, and what waves hit a boat at a particular time, is a little bit disappointing."
"Yes , after the visit she said : I really believe in him and think he 's a good person , and I 'm concerned about his health , his family ,","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a2_say_reported_verb']","Yes, after the visit she said: I really believe in him and think he's a good person, and I'm concerned about his health, his family,"
"Sorry , I 'm too busy talking about the bigger story - you know , how she bought a sandwich for a man and he did n't immediately die from it .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_past_simple_irreg']","Sorry, I'm too busy talking about the bigger story - you know, how she bought a sandwich for a man and he didn't immediately die from it."
Then he delivered a speech in Phoenix that doubled down on his radical proposals such as deporting the roughly 11 million undocumented migrants who live in America today .,"['a1_present_simple_reg_act', 'a1_past_simple_reg', 'a2_relative_clause_who_which_that']",Then he delivered a speech in Phoenix that doubled down on his radical proposals such as deporting the roughly 11 million undocumented migrants who live in America today.
"Illegal immigrants convicted of committing crime get to stay - collecting social security benefits , skipping the line .","['a1_present_simple_reg_act', 'a2_ing_non_finite_forms']","Illegal immigrants convicted of committing crime get to stay - collecting social security benefits, skipping the line."
There 's truly a crisis for elephants and we need to close the elephant ivory markets .,"['a1_there_is_am_are', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']",There's truly a crisis for elephants and we need to close the elephant ivory markets.
"If we want this species to survive , governments need to be falling over themselves to strengthen protections , not fighting to water them down .","['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a2_zero_conditional_if_m']","If we want this species to survive, governments need to be falling over themselves to strengthen protections, not fighting to water them down."
Poachers target the animals to supply ivory from their tusks in Asia .,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms']",Poachers target the animals to supply ivory from their tusks in Asia.
"Both emphasize the need for more marine protected areas , which are scientifically supported to enhance ocean health and resilience in the face of global warming , ocean acidification and rapidly escalating industrial activities .","['a1_present_simple_reg_act', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms', 'a2_passive_present_simple']","Both emphasize the need for more marine protected areas, which are scientifically supported to enhance ocean health and resilience in the face of global warming, ocean acidification and rapidly escalating industrial activities."
"Why are fetishised symbols of liberalism ( organic food , extracurricular activities ) fundamental to good parenting ?","['a1_to_be_present_is_am_are', 'a1_special_questions', 'a2_passive_present_simple']","Why are fetishised symbols of liberalism (organic food, extracurricular activities) fundamental to good parenting?"
How does the past week of 2016 compare to those moments in recent presidential history ?,"['a1_present_simple_3d_pers', 'a1_special_questions']",How does the past week of 2016 compare to those moments in recent presidential history?
"What does Donald Trump know about the European Union besides cheeky Brexit slogans , twit Boris Johnson and where the nearest former Soviet bloc beauty pageant is ?","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_special_questions']","What does Donald Trump know about the European Union besides cheeky Brexit slogans, twit Boris Johnson and where the nearest former Soviet bloc beauty pageant is?"
"If you are , then my one question to you is : why ?","['a1_to_be_present_is_am_are', 'a1_special_questions']","If you are, then my one question to you is: why?"
"And what evidence is there that we are , in fact , living in The Matrix ?","['a1_to_be_present_is_am_are', 'a1_there_is_am_are', 'a1_special_questions']","And what evidence is there that we are, in fact, living in The Matrix?"
"As Terrile puts it : If in the future there are more digital people living in simulated environments than there are today , then what is to say we are not part of that already ?","['a1_to_be_present_is_am_are', 'a1_there_is_am_are', 'a1_special_questions', 'a2_zero_conditional_if_m']","As Terrile puts it: If in the future there are more digital people living in simulated environments than there are today, then what is to say we are not part of that already?"
The only question you should now be asking yourself is how many other people in the country agreed with me ?,"['a1_past_simple_reg', 'a1_special_questions', 'a2_should']",The only question you should now be asking yourself is how many other people in the country agreed with me?
"The survey started out with this question : Regardless of which candidate you happen to support , who do you think did the best job in the debate - Hillary Clinton or Donald Trump ?","['a1_present_simple_reg_act', 'a1_past_simple_reg', 'a1_special_questions', 'a2_to_non_finite_forms']","The survey started out with this question: Regardless of which candidate you happen to support, who do you think did the best job in the debate - Hillary Clinton or Donald Trump?"
He told me : How can a Puerto Rican be seditious towards the US state when we never had any part in electing a US government ?,"['a1_can', 'a1_past_simple_irreg', 'a1_special_questions']",He told me: How can a Puerto Rican be seditious towards the US state when we never had any part in electing a US government?
So what now is the likelihood that Obama will follow in Clinton 's footsteps and finally fling open the cell doors ?,"['a1_to_be_present_is_am_are', 'a1_future_simple', 'a1_special_questions']",So what now is the likelihood that Obama will follow in Clinton's footsteps and finally fling open the cell doors?
"A lot of people from mainstream trans communities ask me , how can you be a person of faith , because even your own religion has been so horrible to LGBT people in general and trans people specifically ?","['a1_can', 'a1_present_simple_reg_act', 'a1_special_questions', 'a2_present_perfect']","A lot of people from mainstream trans communities ask me, how can you be a person of faith, because even your own religion has been so horrible to LGBT people in general and trans people specifically?"
"What others say Once he got on the right path , you knew he was going to be great at whatever he decided to do in life .","['a1_past_simple_reg', 'a1_special_questions', 'a2_is_am_are_going_to']","What others say Once he got on the right path, you knew he was going to be great at whatever he decided to do in life."
"So where , in the great pantheon of such things , does No Balls sit ?","['a1_present_simple_3d_pers', 'a1_special_questions']","So where, in the great pantheon of such things, does No Balls sit?"
"The question is n't so much what to drink , but how early to start ?","['a1_to_be_present_is_am_are', 'a1_special_questions', 'a2_to_non_finite_forms']","The question isn't so much what to drink, but how early to start?"
Who wants to put their kids in harm 's way like that ?,"['a1_possesive_s_sing', 'a1_present_simple_3d_pers', 'a1_special_questions', 'a2_to_non_finite_forms']",Who wants to put their kids in harm's way like that?
